"STATION","NAME","DATE","AWND","DAPR","EVAP","MDPR","MNPN","MXPN","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WDMV","WESD","WESF","WSF2","WSF5","WSFI","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11"
"USC00265352","MONTELLO 2 NE, NV US","2014-07-01",,,,,,,,"0.00","0.0","0.0",,"86","43","53",,,,,,,,,,,,,,,,,,,
"USC00265352","MONTELLO 2 NE, NV US","2014-07-02",,,,,,,,"0.00","0.0","0.0",,"90","45","67",,,,,,,,,,,,,,,,,,,
"USC00265352","MONTELLO 2 NE, NV US","2014-07-03",,,,,,,,"0.00","0.0","0.0",,"97","54","76",,,,,,,,,,,,,,,,,,,
"USC00265352","MONTELLO 2 NE, NV US","2014-07-04",,,,,,,,"0.00","0.0","0.0",,"97","48","65",,,,,,,,,,,,,,,,,,,
"USC00265352","MONTELLO 2 NE, NV US","2014-07-05",,,,,,,,"0.00","0.0","0.0",,"99","51","82",,,,,,,,,,,,,,,,,,,
"USC00265352","MONTELLO 2 NE, NV US","2014-07-06",,,,,,,,"0.00","0.0","0.0",,"99","52","77",,,,,,,,,,,,,,,,,,,
"USC00265352","MONTELLO 2 NE, NV US","2014-07-07",,,,,,,,"0.00","0.0","0.0",,"101","50","75",,,,,,,,,,,,,,,,,,,
"USC00265352","MONTELLO 2 NE, NV US","2014-07-08",,,,,,,,"0.00","0.0","0.0",,"100","51","71",,,,,,,,,,,,,,,,,,,
"USC00265352","MONTELLO 2 NE, NV US","2014-07-09",,,,,,,,"0.00","0.0","0.0",,"100","61","73",,,,,,,,,,,,,,,,,,,
"USC00265352","MONTELLO 2 NE, NV US","2014-07-10",,,,,,,,"0.00","0.0","0.0",,"97","64","81",,,,,,,,,,,,,,,,,,,
"USC00265352","MONTELLO 2 NE, NV US","2014-07-11",,,,,,,,"0.00","0.0","0.0",,"92","57","70",,,,,,,,,,,,,,,,,,,
"USC00265352","MONTELLO 2 NE, NV US","2014-07-12",,,,,,,,"0.18","0.0","0.0",,"90","59","73",,,,,,,,,,,,,,,,,,,
"USC00265352","MONTELLO 2 NE, NV US","2014-07-13",,,,,,,,"0.00","0.0","0.0",,"93","56","75",,,,,,,,,,,,,,,,,,,
"USC00265352","MONTELLO 2 NE, NV US","2014-07-14",,,,,,,,"0.00","0.0","0.0",,"99","55","81",,,,,,,,,,,,,,,,,,,
"USC00265352","MONTELLO 2 NE, NV US","2014-07-15",,,,,,,,"0.00","0.0","0.0",,"102","64","79",,,,,,,,,,,,,,,,,,,
"USC00265352","MONTELLO 2 NE, NV US","2014-07-16",,,,,,,,"0.00","0.0","0.0",,"99","54","74",,,,,,,,,,,,,,,,,,,
