Facility_Name,KW_Rating,KWH_Generated,Date,Generated,Address_Location
Veterans Memorial Community Center,116.2,218498,08/01/2014 12:00:00 AM,23330,"101 S Pavilion Center, Las Vegas, NV 89144"
Fire Station 6,31.1,50089,08/01/2014 12:00:00 AM,4443,"1680 S Torrey Pines, Las Vegas, NV 89146"
Fire Station 45,41,72089,08/01/2014 12:00:00 AM,7182,"3821 N Fort Apache, Las Vegas, NV 89117"
East Yard - Main Gate 1,100,188615,08/01/2014 12:00:00 AM,19264,"3104 E Bonanza Rd, Las Vegas, NV 89101, (36.173711, -115.105668)"
West Yard - Vehicle Services,76.6,141216,08/01/2014 12:00:00 AM,15290,"2950 RONEMUS DR, Las Vegas, NV 89128, (36.213701, -115.257431)"
All American Park,114,96964,08/01/2014 12:00:00 AM,18479,"1551 S Buffalo Dr, Las Vegas, NV 89117, (36.152456, -115.261782)"
Mirabelli Community Center,102.9,179996,08/01/2014 12:00:00 AM,17680,"6200 Hargrove Ave, Las Vegas, NV 89107, (36.172765, -115.22679)"
Stupak Community Center,25.3,46082,08/01/2014 12:00:00 AM,4597,"251 W Boston Ave, Las Vegas, NV 89102, (36.147434, -115.159901)"
Fire Station 10,44.5,79443,08/01/2014 12:00:00 AM,7683,"1501 S Martin L King, Las Vegas, NV 89102, (36.154456, -115.163096)"
East Yard - Sign Shop,15.3,28382,08/01/2014 12:00:00 AM,2863,"3104 E Bonanza Rd, Las Vegas, NV 89101, (36.173711, -115.105668)"
Fire Station 8,52.8,91443,08/01/2014 12:00:00 AM,9479,"805 N Mojave Rd, Las Vegas, NV 89101, (36.178853, -115.106735)"
Rainbow Park,28.8,49425,08/01/2014 12:00:00 AM,4882,"7151 W Oakey Blvd, Las Vegas, NV 89117, (36.151551, -115.248168)"
Fire Station 41,36.1,65404,08/01/2014 12:00:00 AM,6626,"6989 N BUFFALO DR, Las Vegas, NV 89131, (36.286959, -115.260381)"
Fire Station 5,30.1,61016,08/01/2014 12:00:00 AM,6278,"1020 Hinson St, Las Vegas, NV 89107, (36.160719, -115.195001)"
Fire Station 7,24.6,42533,08/01/2014 12:00:00 AM,4361,"10101 Banburry Cross Dr, Las Vegas, NV 89144, (36.182041, -115.314991)"
Fire Station 44,30,57914,08/01/2014 12:00:00 AM,5703,"7701 W Washington Ave, Las Vegas, NV 89128, (36.181354, -115.262767)"
Centennial Hills Park,30.1,38876,08/01/2014 12:00:00 AM,4251,"7691 Elkhorn Drive, Las Vegas, NV 89131, (36.290598, -115.259223)"
Lorenzi Park,66.3,45443,08/01/2014 12:00:00 AM,11298,"3333 W Washington Ave, Las Vegas, NV 89107, (36.181169, -115.18456)"
Natural History Museum,46.8,82591,08/01/2014 12:00:00 AM,8983,"900 N Las Vegas Blvd, Las Vegas, NV 89101, (36.179198, -115.134762)"
East Las Vegas Community Center,123,192422,08/01/2014 12:00:00 AM,20356,"250 N Eastern Ave, Las Vegas, NV 89101, (36.165859, -115.115714)"
East Yard - Fire Equipment Center,45.6,70677,08/01/2014 12:00:00 AM,8852,"3140 E Bonanza Rd, Las Vegas, NV 89101, (36.173702, -115.104989)"
Fire Station 48,30,57507,08/01/2014 12:00:00 AM,5454,"9133 Elkhorn Rd, Las Vegas, NV 89149, (36.291814, -115.295198)"
Ed Fountain Park,144.5,151050,08/01/2014 12:00:00 AM,22350,"1400 N Decatur Blvd, Las Vegas, NV 89108, (36.186106, -115.206036)"
West Yard - EOC,55,116423,08/01/2014 12:00:00 AM,8080,"7551 Sauer Dr, Las Vegas, NV 89128, (36.215571, -115.25975)"
Centennial Hills Community Center N & S,169.6,193116,08/01/2014 12:00:00 AM,29647,"6601 N Buffalo Dr, Las Vegas, NV 89131, (36.281325, -115.26211)"
West Yard - Operations-Maintenance,79.3,146880,08/01/2014 12:00:00 AM,14660,"2875 RONEMUS DR, Las Vegas, NV 89128, (36.211583, -115.256869)"
WPCF Plant,3334,6759539,08/01/2014 12:00:00 AM,698220,"6005 W Vegas Valley Dr, Las Vegas, NV 89142, (36.137193, -115.041536)"
Fire Station 43,35.5,66140,08/01/2014 12:00:00 AM,7164,"6420 Smoke Ranch Rd, Las Vegas, NV 89108, (36.203249, -115.233894)"
Durango Hills Community Center S,33.6,45246,08/01/2014 12:00:00 AM,5001,"3521 N Durango Dr, Las Vegas, NV 89129, (36.224833, -115.279008)"
